Category1,Category2,Category3,2015,2016,2017,2018,2019,2020,2021,2022,2023,SourceFile,2000,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mænd,Alder i alt,I alt,121223.0,118869.0,112555.0,112883.0,123128.0,135465.0,128597.0,124120.0,122128.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,Alder i alt,Selvstændige,8018.0,8906.0,7757.0,7237.0,7886.0,9429.0,8799.0,8324.0,7809.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,Alder i alt,Lønmodtagere,62490.0,61367.0,58314.0,57347.0,64339.0,75069.0,70396.0,68780.0,69552.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,Alder i alt,Arbejdsløse,2756.0,2474.0,1970.0,2086.0,2041.0,2136.0,3783.0,2541.0,1274.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,Alder i alt,Studerende,15179.0,15039.0,14581.0,15088.0,16272.0,15149.0,14911.0,14974.0,13815.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,Alder i alt,Pensionister mv.,11755.0,10268.0,9514.0,9631.0,10407.0,11063.0,10590.0,10444.0,10523.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,Alder i alt,Øvrige personer,21025.0,20815.0,20419.0,21494.0,22183.0,22619.0,20118.0,19057.0,19155.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,Alder i alt,Uoplyst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,15-29 år,I alt,41644.0,41122.0,40887.0,42816.0,45807.0,46565.0,43417.0,42343.0,41590.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,15-29 år,Selvstændige,691.0,793.0,721.0,813.0,833.0,1055.0,1045.0,1009.0,890.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,15-29 år,Lønmodtagere,16076.0,15684.0,16267.0,16986.0,19097.0,20921.0,19340.0,19357.0,19829.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,15-29 år,Arbejdsløse,527.0,474.0,356.0,418.0,409.0,404.0,729.0,411.0,208.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,15-29 år,Studerende,14425.0,14367.0,14006.0,14458.0,15586.0,14433.0,14189.0,14263.0,13220.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,15-29 år,Pensionister mv.,470.0,289.0,247.0,249.0,250.0,285.0,255.0,278.0,324.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,15-29 år,Øvrige personer,9455.0,9515.0,9290.0,9892.0,9632.0,9467.0,7859.0,7025.0,7119.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,15-29 år,Uoplyst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,30-49 år,I alt,48603.0,45641.0,41780.0,41359.0,45302.0,52176.0,49571.0,47387.0,46683.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,30-49 år,Selvstændige,3889.0,4173.0,3498.0,3169.0,3518.0,4174.0,3812.0,3540.0,3260.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
Mænd,30-49 år,Lønmodtagere,30238.0,28732.0,26256.0,25485.0,28570.0,34126.0,31710.0,30807.0,31056.0,"Skyldige personer efter køn, alder, socioøkoknomisk status og tid",,,,,,,,,,,,,
